hour,TH_NP15_GEN_Combined,TH_SP15_GEN_Combined,TH_ZP26_GEN_Combined
2022-08-04 06:00:00,50.46079708333333,56.93620868055556,50.79664430555555
2022-08-04 07:00:00,49.648620625,55.532017708333335,50.078298958333335
2022-08-04 08:00:00,48.836444166666666,54.12782673611111,49.35995361111111
2022-08-04 09:00:00,48.02426770833333,52.72363576388889,48.64160826388889
2022-08-04 10:00:00,47.21209125,51.31944479166667,47.923262916666665
2022-08-04 11:00:00,46.39991479166667,49.915253819444445,47.20491756944445
2022-08-04 12:00:00,45.58773833333333,48.51106284722223,46.48657222222222
2022-08-04 13:00:00,44.775561875,47.106871875,45.768226875
2022-08-04 14:00:00,38.448635,38.83142,37.927578125
2022-08-04 15:00:00,37.410886875,37.508314375,36.532344375
2022-08-04 16:00:00,36.465045,37.19952625,35.8257325
2022-08-04 17:00:00,41.424123125,42.609130625000006,40.592225
2022-08-04 18:00:00,38.59490125,39.040876875,37.83752
2022-08-04 19:00:00,37.617503125,44.603385625,36.765994375000005
2022-08-04 20:00:00,46.182048125,47.230517500000005,45.453384375
2022-08-04 21:00:00,44.23356625,49.268035,43.69053125
2022-08-04 22:00:00,42.64098698529412,45.81981735294117,43.82585492647059
2022-08-04 23:00:00,42.67659830882353,45.91082558823529,43.87787904411765
2022-08-05 00:00:00,42.71220963235294,46.00183382352941,43.92990316176471
2022-08-05 01:00:00,42.747820955882354,46.09284205882353,43.98192727941176
2022-08-05 02:00:00,42.78343227941176,46.18385029411765,44.03395139705882
2022-08-05 03:00:00,42.81904360294117,46.27485852941176,44.085975514705886
2022-08-05 04:00:00,42.85465492647059,46.36586676470588,44.137999632352944
2022-08-05 05:00:00,43.13872645833333,55.92953590277778,42.88650993055556
2022-08-05 06:00:00,43.70815541666666,55.25888305555556,43.90079423611111
2022-08-05 07:00:00,44.277584375,54.588230208333336,44.91507854166667
2022-08-05 08:00:00,44.84701333333333,53.91757736111112,45.92936284722222
2022-08-05 09:00:00,45.41644229166667,53.246924513888885,46.94364715277778
2022-08-05 10:00:00,45.98587125,52.57627166666666,47.95793145833333
2022-08-05 11:00:00,46.555300208333335,51.90561881944444,48.97221576388889
2022-08-05 12:00:00,47.12472916666667,51.23496597222222,49.986500069444446
2022-08-05 13:00:00,47.694158125,50.564313125,51.000784375
2022-08-05 14:00:00,47.63412625,48.88495125,47.7485375
2022-08-05 15:00:00,42.328876875,41.68570875,40.935010000000005
2022-08-05 16:00:00,40.839555,40.8521,39.9615675
2022-08-05 17:00:00,36.949084375,37.11450375,36.222919375
2022-08-05 18:00:00,37.42765,37.42765,37.42765
2022-08-05 19:00:00,36.44702125,36.44702125,36.44702125
2022-08-05 20:00:00,36.87669,37.28328875,36.679471875
2022-08-05 21:00:00,35.605993125,37.60242625,35.380489375
2022-08-05 22:00:00,36.144364375,43.965017058823534,37.24021801470588
2022-08-05 23:00:00,35.9515525,44.192300514705884,36.89834481617647
2022-08-06 00:00:00,35.758740624999994,44.41958397058824,36.556471617647055
2022-08-06 01:00:00,35.56592875,44.64686742647059,36.21459841911764
2022-08-06 02:00:00,35.373116874999994,44.87415088235294,35.87272522058824
2022-08-06 03:00:00,35.180305,45.10143433823529,35.53085202205882
2022-08-06 04:00:00,34.987493125,45.32871779411765,35.18897882352941
2022-08-06 05:00:00,40.87063111111111,47.72563048611111,41.87217347222222
2022-08-06 06:00:00,40.036969722222224,46.25004659722222,41.00154069444445
2022-08-06 07:00:00,39.20330833333333,44.77446270833333,40.130907916666665
2022-08-06 08:00:00,38.36964694444445,43.29887881944444,39.260275138888886
2022-08-06 09:00:00,37.53598555555556,41.82329493055556,38.38964236111112
2022-08-06 10:00:00,36.70232416666667,40.34771104166666,37.519009583333336
2022-08-06 11:00:00,35.86866277777778,38.87212715277778,36.64837680555556
2022-08-06 12:00:00,35.03500138888889,37.39654326388889,35.77774402777778
2022-08-06 13:00:00,34.20134,35.920959374999995,34.90711125
2022-08-06 14:00:00,29.793139375,30.741126875,29.7475575
2022-08-06 15:00:00,24.41538875,24.99989,23.994123125
2022-08-06 16:00:00,24.65359,25.047151875,24.045965625
2022-08-06 17:00:00,21.903596875,22.455095625,21.37050625
2022-08-06 18:00:00,25.729436250000003,27.390440625,25.210801875
2022-08-06 19:00:00,27.27436875,28.454135,26.832494375000003
2022-08-06 20:00:00,28.504496875,30.8521575,28.249195
2022-08-06 21:00:00,27.977528125,29.8711775,27.77718125
2022-08-06 22:00:00,33.67386149038462,35.11477,34.11880004807692
2022-08-06 23:00:00,33.72930182692308,35.2214725,34.208866490384615
2022-08-07 00:00:00,33.78474216346154,35.328175,34.2989329326923
2022-08-07 07:00:00,33.8401825,35.4348775,34.388999375
2022-08-07 08:00:00,31.86252375,33.65110625,32.53318375
2022-08-07 09:00:00,33.499421875,34.933865,33.955918125
2022-08-07 10:00:00,33.37504625,34.860071875,33.848389999999995
2022-08-07 11:00:00,32.002195,33.777866875,32.603250625
2022-08-07 12:00:00,32.689618125,34.3712875,33.25648
2022-08-07 13:00:00,33.515525,35.040638125,34.024960625
2022-08-07 14:00:00,26.72100875,27.136024375,26.135825625
2022-08-07 15:00:00,18.330575625,19.132855,18.183451875
2022-08-07 16:00:00,13.7348975,14.262388125,13.654550625
2022-08-07 17:00:00,7.654513750000001,24.083136875,5.824604375000002
2022-08-07 18:00:00,3.0764037499999985,29.157754375,-0.1394268749999999
2022-08-07 19:00:00,3.5549568750000016,38.09527625,-0.6484550000000002
2022-08-07 20:00:00,9.151474375,43.71483125,4.925070000000001
2022-08-07 21:00:00,20.719470625,39.740683125,18.04201875
2022-08-07 22:00:00,31.563811875,46.72862125,29.54497375
2022-08-07 23:00:00,28.42811875,47.889273125,26.114205625
