"Name","Total_Average_MAE_Loss","feature_index"
"woven-sweep-2","7.103160875184195","5"
"deft-sweep-130","7.101781402315412","133"
"worthy-sweep-86","7.100061569895063","89"
"robust-sweep-238","7.099056759050914","241"
"mild-sweep-111","7.0984978420393805","114"
"warm-sweep-110","7.094169165406909","113"
"dashing-sweep-372","7.093718154089792","375"
"valiant-sweep-82","7.092576350484576","85"
"twilight-sweep-265","7.090256720781326","268"
"logical-sweep-285","7.090095630713872","288"
"worthy-sweep-201","7.088312668459756","204"
"smooth-sweep-149","7.087736142533166","152"
"eternal-sweep-275","7.087184505803243","278"
"wandering-sweep-289","7.086643704346248","292"
"ethereal-sweep-349","7.084076928240912","352"
"clean-sweep-213","7.083592551095145","216"
"fanciful-sweep-66","7.083404319626944","69"
"sandy-sweep-212","7.082086652517318","215"
"easy-sweep-334","7.0814558906214575","337"
"stoic-sweep-158","7.080989118133273","161"
"fresh-sweep-346","7.078694177525384","349"
"fine-sweep-239","7.078629059450968","242"
"wandering-sweep-171","7.07676055601665","174"
"wandering-sweep-183","7.076151038919176","186"
"amber-sweep-251","7.074544093438558","254"
"dashing-sweep-203","7.068963314805712","206"
"exalted-sweep-196","7.068685863699232","199"
"devout-sweep-234","7.06733970131193","237"
"logical-sweep-94","7.063359320163727","97"
"ethereal-sweep-46","7.06312135713441","49"
"pious-sweep-101","7.062224579708918","104"
"tough-sweep-266","7.061758318117687","269"
"fresh-sweep-204","7.061313778162003","207"
"daily-sweep-272","7.061090784413475","275"
"worldly-sweep-133","7.0580876129014145","136"
"faithful-sweep-220","7.055968884910856","223"
"floral-sweep-271","7.055951927389417","274"
"robust-sweep-172","7.055461355618068","175"
"confused-sweep-194","7.055040631975447","197"
"spring-sweep-119","7.051643584455762","122"
"misty-sweep-32","7.050630654607501","35"
"ruby-sweep-30","7.050187179020472","33"
"daily-sweep-18","7.0493369953972955","21"
"classic-sweep-323","7.046609405960355","326"
"dandy-sweep-192","7.045999326876232","195"
"summer-sweep-11","7.043757204498564","14"
"vivid-sweep-45","7.043582567146846","48"
"good-sweep-185","7.042507507971356","188"
"whole-sweep-362","7.041109153202601","365"
"noble-sweep-142","7.041066433702197","145"
"robust-sweep-164","7.040824528251376","167"
