hour,DAM_SP15,DAM_NP15,DAM_ZP26
2022-07-21 19:00:00,74.80638,70.40173,66.53591
2022-08-19 01:00:00,200.77689,201.42351,201.83
2022-08-19 04:00:00,148.06242,144.21436,142.14725
2022-08-19 02:00:00,248.92203,249.94168,209.0
2022-08-19 03:00:00,181.28947,181.45322,144.50491
2022-08-19 06:00:00,101.70644,100.97831,99.80696
2022-08-19 05:00:00,107.63439,105.04571,103.47158
2022-08-19 00:00:00,159.08374,157.5951,159.71252
2022-08-19 17:00:00,73.00175,74.88152,68.16674
2022-08-19 22:00:00,99.27245,101.38238,95.06421
2022-08-19 07:00:00,87.51384,86.94738,85.16
2022-08-19 19:00:00,79.11399,81.23314,73.75475
2022-08-19 11:00:00,81.70721,83.84899,80.62301
2022-08-19 09:00:00,81.90898,83.96467,80.50043
2022-08-19 12:00:00,85.3601,85.20332,83.27005
2022-08-19 15:00:00,74.11,75.26821,70.20256
2022-08-19 20:00:00,84.79605,85.78,79.35996
2022-08-19 08:00:00,84.78923,85.67932,82.96925
2022-08-19 18:00:00,76.44774,77.41788,71.01989
2022-08-19 14:00:00,83.76788,82.54066,80.65265
2022-08-19 23:00:00,103.85402,106.67818,99.0
2022-08-19 10:00:00,81.24835,83.49903,80.12881
2022-08-19 13:00:00,99.06018,96.15218,96.06935
2022-08-19 16:00:00,70.78066,73.18205,66.40067
2022-08-19 21:00:00,91.0,95.35301,85.17144
2022-02-19 05:00:00,57.92485,59.4833,57.02646
2022-02-19 07:00:00,46.87294,48.25675,46.07378
2022-02-19 04:00:00,58.78706,60.71492,57.98824
2022-02-19 03:00:00,61.11175,63.05485,60.30639
2022-02-19 02:00:00,66.88385,69.21,66.00103
2022-02-19 06:00:00,51.33867,52.48054,50.45904
2022-02-19 00:00:00,45.67,50.50755,45.02594
2022-02-19 01:00:00,61.6815,63.3234,60.61891
2022-02-19 22:00:00,-0.03545,10.89109,-1.69248
2022-02-19 17:00:00,0.93657,23.57922,-2.08103
2022-02-19 23:00:00,3.83029,21.1944,1.40502
2022-02-19 12:00:00,45.50329,46.83312,44.79304
2022-02-19 19:00:00,-0.01896,14.61547,-2.01884
2022-02-19 20:00:00,-0.03379,11.16774,-1.73755
2022-02-19 18:00:00,0.56511,18.93508,-2.13906
2022-02-19 21:00:00,-0.04946,10.35574,-1.63555
2022-02-19 16:00:00,8.94793,32.47375,5.34072
2022-02-19 15:00:00,41.56071,44.08768,41.3681
2022-02-19 14:00:00,53.2785,55.56569,52.85143
2022-02-19 11:00:00,43.73142,44.69572,42.88428
2022-02-19 09:00:00,44.27214,45.16996,43.36891
2022-02-19 13:00:00,48.06698,49.37923,47.36603
2022-02-19 08:00:00,45.18283,46.11746,44.33419
2022-02-19 10:00:00,43.81401,44.7028,42.8936
2022-01-09 05:00:00,58.01474,58.2593,57.3407
2022-01-09 02:00:00,73.94186,75.71554,73.58866
2022-01-09 00:00:00,60.75361,61.05298,59.85549
2022-01-09 06:00:00,53.1059,53.28603,52.2107
2022-01-09 07:00:00,47.0948,47.03693,46.13506
2022-01-09 01:00:00,73.66944,74.58223,72.93161
2022-01-09 03:00:00,64.98072,66.06396,64.57703
2022-01-09 04:00:00,62.49383,62.40601,62.49383
2022-01-09 12:00:00,45.87321,46.94378,45.45636
2022-01-09 15:00:00,51.69809,53.80415,51.49341
2022-01-09 17:00:00,14.48344,42.77783,0.0
2022-01-09 22:00:00,10.25304,33.072,-1.70939
2022-01-09 09:00:00,45.92744,46.73186,45.35962
2022-01-09 19:00:00,5.92621,37.07578,-10.74447
2022-01-09 20:00:00,5.73,34.47793,-9.59255
2022-01-09 23:00:00,37.7147,40.50159,37.56733
2022-01-09 10:00:00,44.77911,45.80092,44.32138
2022-01-09 11:00:00,45.61249,46.67194,45.13692
2022-01-09 21:00:00,7.5104,33.46438,-6.36395
2022-01-09 08:00:00,45.26536,45.83333,44.56704
2022-01-09 13:00:00,49.43784,50.71517,49.05975
2022-01-09 16:00:00,35.26941,45.2532,31.04
2022-01-09 18:00:00,9.02132,43.14774,-9.23629
2022-01-09 14:00:00,56.69782,57.94489,56.1182
2022-06-14 06:00:00,74.44822,75.28,74.69809
2022-06-14 03:00:00,114.40701,109.23723,109.4939
2022-06-14 00:00:00,63.69,73.87947,61.21232
2022-06-14 05:00:00,75.68586,72.05393,75.34987
2022-06-14 01:00:00,80.96056,79.69926,77.21922
2022-06-14 04:00:00,99.42992,96.27192,95.36229
2022-06-14 02:00:00,115.54895,109.99,93.0
2022-06-14 17:00:00,26.51034,36.72738,24.90127
2022-06-14 07:00:00,70.53083,77.43419,71.85556
2022-06-14 11:00:00,71.03118,76.04926,72.02435
2022-06-14 09:00:00,71.00706,74.49782,71.44579
2022-06-14 15:00:00,23.02597,41.0,21.16333
2022-06-14 22:00:00,73.48545,76.17146,70.93714
2022-06-14 08:00:00,68.88691,74.64104,69.48081
2022-06-14 12:00:00,82.33378,85.48046,82.61211
2022-06-14 10:00:00,69.23259,73.55673,70.12699
2022-06-14 13:00:00,72.80684,75.16228,72.36252
2022-06-14 18:00:00,34.32132,43.25636,37.47739
2022-06-14 19:00:00,45.3,53.2879,49.86047
2022-06-14 20:00:00,54.36206,65.35664,58.82827
2022-06-14 23:00:00,69.45517,75.51641,66.87946
2022-06-14 14:00:00,36.47958,50.3408,34.64746
2022-06-14 16:00:00,23.40257,35.7267,21.48989
2022-06-14 21:00:00,65.52529,73.86023,67.76161
2022-06-06 01:00:00,74.58178,77.87169,73.50146
2022-06-06 00:00:00,49.30531,53.49621,47.43504
2022-06-06 04:00:00,99.20983,97.99126,96.82433
2022-06-06 05:00:00,81.8345,83.19126,81.00156
2022-06-06 02:00:00,106.16189,105.2,103.38678
2022-06-06 06:00:00,72.73213,74.42731,72.3427
2022-06-06 03:00:00,112.93431,111.66301,110.33285
2022-06-06 10:00:00,59.80451,62.86479,60.4173
2022-06-06 20:00:00,44.03005,54.5746,41.01741
2022-06-06 16:00:00,24.29866,44.69827,23.23224
2022-06-06 14:00:00,46.75718,57.03535,46.17321
2022-06-06 23:00:00,61.93554,65.44814,58.52858
2022-06-06 19:00:00,38.50202,52.04211,36.85991
2022-06-06 11:00:00,61.68072,66.11245,62.84215
2022-06-06 07:00:00,68.14582,72.69,69.14491
2022-06-06 21:00:00,48.76942,56.11539,40.69522
2022-06-06 09:00:00,61.96639,65.15972,62.61952
2022-06-06 22:00:00,60.29427,67.73564,54.59302
2022-06-06 18:00:00,33.62561,47.7,32.06075
2022-06-06 08:00:00,66.46383,69.3964,66.79638
2022-06-06 17:00:00,25.53285,44.57964,24.81118
2022-06-06 13:00:00,75.52255,76.50663,74.16057
2022-06-06 12:00:00,73.91898,78.51762,74.8416
2022-06-06 15:00:00,34.93903,50.09582,33.96764
2022-04-01 03:00:00,70.20952,72.29503,71.09072
2022-04-01 04:00:00,64.76985,66.64205,65.39843
2022-04-01 00:00:00,43.82427,46.878,43.21015
2022-04-01 06:00:00,53.73185,55.99643,54.40055
2022-04-01 02:00:00,82.24114,83.52469,82.91714
2022-04-01 05:00:00,58.49385,60.11021,58.93301
2022-04-01 01:00:00,61.30477,63.31655,61.63257
2022-04-01 18:00:00,24.40936,26.1795,22.82846
2022-04-01 19:00:00,20.2063,21.82085,19.53272
2022-04-01 14:00:00,68.06026,71.81332,69.58314
2022-04-01 11:00:00,59.11959,60.39157,60.12025
2022-04-01 23:00:00,28.5288,30.68666,27.81947
2022-04-01 17:00:00,26.37708,28.21151,24.00145
2022-04-01 08:00:00,50.48784,51.36044,51.34903
2022-04-01 07:00:00,53.10019,54.04719,54.06868
2022-04-01 21:00:00,21.18678,22.94006,19.75779
2022-04-01 13:00:00,81.65081,84.87398,83.57957
2022-04-01 16:00:00,34.70833,36.81289,30.66171
2022-04-01 12:00:00,68.34485,70.18183,69.31509
2022-04-01 09:00:00,50.92324,51.8709,51.82345
2022-04-01 20:00:00,19.97471,21.51,19.35073
2022-04-01 15:00:00,46.27968,48.9168,46.24023
2022-04-01 10:00:00,52.87303,53.89477,53.76732
2022-04-01 22:00:00,24.40231,26.50488,23.62008
2022-09-08 01:00:00,1300.11,1262.8491,1251.5905
2022-09-08 00:00:00,943.75616,924.77875,900.88495
2022-09-08 06:00:00,139.40744,132.54317,134.16666
2022-09-08 02:00:00,1189.11,1139.1935,1144.5503
2022-09-08 05:00:00,160.10977,154.23161,154.8079
2022-09-08 04:00:00,267.50284,262.727,260.71176
2022-09-08 03:00:00,827.11,806.3789,801.77203
2022-09-08 22:00:00,384.24872,376.80826,364.58182
2022-09-08 19:00:00,150.01,126.09004,120.25655
2022-09-08 23:00:00,543.07587,543.07587,543.07587
2022-09-08 21:00:00,212.63,205.73851,204.96944
2022-09-08 18:00:00,135.34142,109.35,103.22465
2022-09-08 16:00:00,90.54484,89.12004,86.50066
2022-09-08 08:00:00,109.36948,104.53866,105.25408
2022-09-08 15:00:00,89.52197,88.8191,86.50739
2022-09-08 11:00:00,96.41278,94.38587,94.18091
2022-09-08 10:00:00,99.81837,96.90937,97.04649
2022-09-08 09:00:00,100.96255,97.92757,98.14518
2022-09-08 13:00:00,115.80416,111.11113,111.61438
2022-09-08 20:00:00,166.24628,152.0028,150.44336
2022-09-08 12:00:00,100.15296,97.55383,97.5946
2022-09-08 07:00:00,116.59203,111.63186,112.26191
2022-09-08 14:00:00,102.59208,101.90722,100.31623
2022-09-08 17:00:00,107.2615,104.49978,101.20096
2022-02-12 04:00:00,51.68077,52.40957,50.83943
2022-02-12 01:00:00,66.14346,64.42,64.67618
2022-02-12 05:00:00,47.93881,48.69383,47.27817
2022-02-12 03:00:00,54.85187,55.58618,53.88985
2022-02-12 07:00:00,42.87477,43.29,42.09732
2022-02-12 02:00:00,66.23,66.66943,64.95291
2022-02-12 00:00:00,49.48,50.07076,48.27793
2022-02-12 06:00:00,43.64982,44.01867,42.7367
2022-02-12 15:00:00,40.52984,42.93397,40.46601
2022-02-12 17:00:00,13.41037,21.45607,10.82421
2022-02-12 18:00:00,10.39896,17.22776,8.19605
2022-02-12 08:00:00,39.67837,41.22,39.44342
2022-02-12 12:00:00,40.20394,41.75538,39.97456
2022-02-12 20:00:00,9.9337,10.95996,10.02706
2022-02-12 13:00:00,43.2825,45.10038,43.08902
2022-02-12 16:00:00,24.47479,31.00169,22.64
2022-02-12 21:00:00,9.63336,10.62133,9.71
2022-02-12 22:00:00,14.39675,15.76079,14.48305
2022-02-12 19:00:00,9.56862,12.82509,8.78873
2022-02-12 10:00:00,39.6023,41.00832,39.18418
2022-02-12 14:00:00,46.50439,48.48,46.44144
2022-02-12 09:00:00,39.49846,40.84355,39.2
2022-02-12 11:00:00,38.12672,39.54161,37.81845
2022-02-12 23:00:00,29.21597,30.40798,28.35471
2022-08-27 01:00:00,128.87375,127.16806,123.91192
2022-08-27 05:00:00,86.62694,91.12839,88.12674
2022-08-27 04:00:00,108.19237,106.58432,105.59127
2022-08-27 02:00:00,140.58058,135.5549,135.31296
2022-08-27 00:00:00,99.18763,100.1339,94.82751
2022-08-27 06:00:00,84.34596,86.3352,85.1575
2022-08-27 03:00:00,117.13938,114.01555,113.29637
2022-08-27 07:00:00,75.79126,87.42136,78.38682
2022-08-27 12:00:00,73.32089,83.20482,75.61635
2022-08-27 22:00:00,70.46867,75.80991,67.86525
2022-08-27 15:00:00,54.96359,63.14842,53.31412
2022-08-27 13:00:00,79.36,93.26393,84.2651
2022-08-27 14:00:00,69.9571,76.24841,70.37085
2022-08-27 17:00:00,48.99484,58.65806,46.71251
2022-08-27 11:00:00,70.39787,80.58978,72.84538
2022-08-27 16:00:00,47.59007,57.66729,45.36782
2022-08-27 18:00:00,52.59165,61.0,50.40794
2022-08-27 20:00:00,63.49668,69.93436,61.33233
2022-08-27 08:00:00,74.4273,82.47984,75.99587
2022-08-27 21:00:00,67.59477,72.63876,65.00035
2022-08-27 10:00:00,70.57262,80.90472,72.92713
